title,text
Agruculture: Revolution,"In the Middle Ages, compared to the Roman period, agriculture in Western Europe became more focused on self-sufficiency. The agricultural population under feudalism was typically organized into manors consisting of several hundred or more acres of land presided over by a lord of the manor with a Roman Catholic church and priest. Thanks to the exchange with the Al-Andalus where the Arab Agricultural Revolution was underway, European agriculture transformed, with improved techniques and the diffusion of crop plants, including the introduction of sugar, rice, cotton and fruit trees (such as the orange). After 1492, the Columbian exchange brought New World crops such as maize, potatoes, tomatoes, sweet potatoes, and manioc to Europe, and Old World crops such as wheat, barley, rice, and turnips, and livestock (including horses, cattle, sheep and goats) to the Americas. Irrigation, crop rotation, and fertilizers advanced from the 17th century with the British Agricultural Revolution, allowing global population to rise significantly. Since 1900, agriculture in developed nations, and to a lesser extent in the developing world, has seen large rises in productivity as mechanization replaces human labor, and assisted by synthetic fertilizers, pesticides, and selective breeding. The Haber-Bosch method allowed the synthesis of ammonium nitrate fertilizer on an industrial scale, greatly increasing crop yields and sustaining a further increase in global population. Modern agriculture has raised or encountered ecological, political, and economic issues including water pollution, biofuels, genetically modified organisms, tariffs and farm subsidies, leading to alternative approaches such as the organic movement. Unsustainable farming practices in North America led to the Dust Bowl of the 1930s."
Medici: Rise to power,"For most of the 13th century, the leading banking centre in Italy was Siena. But in 1298, one of the leading banking families of Europe, the Bonsignoris, went bankrupt, and the city of Siena lost its status as the banking centre of Italy to Florence. Until the late 14th century, the leading family of Florence was the House of Albizzi. In 1293, the Ordinances of Justice were enacted; effectively, they became the constitution of the Republic of Florence throughout the Italian Renaissance. The city's numerous luxurious palazzi were becoming surrounded by townhouses built by the prospering merchant class. The main challengers to the Albizzi family were the Medici, first under Giovanni di Bicci de' Medici, later under his son Cosimo di Giovanni de' Medici and great-grandson, Lorenzo de' Medici. The Medici controlled the Medici Bank—then Europe's largest bank—and an array of other enterprises in Florence and elsewhere. In 1433, the Albizzi managed to have Cosimo exiled. The next year, however, a pro-Medici Signoria (civic government) led by Tommaso Soderini, Oddo Altoviti and Lucca Pitti was elected and Cosimo returned. The Medici became the city's leading family, a position they would hold for the next three centuries. Florence remained a republic until 1537, traditionally marking the end of the High Renaissance in Florence, but the instruments of republican government were firmly under the control of the Medici and their allies, save during intervals after 1494 and 1527. The Medici family was connected to most other elite families of the time through marriages of convenience, partnerships, or employment, so the family had a central position in the social network: several families had systematic access to the rest of the elite families only through the Medici, perhaps similar to banking relationships. Some examples of these families include the Bardi, Altoviti, Ridolfi, Cavalcanti and the Tornabuoni."
Console games: Third and fourth generations,"The release of new consoles from Nintendo, Sega and Atari signified the start of the third (and fourth) generations, which also saw the introduction of notable franchises such as The Legend of Zelda, Star Fox, Sonic the Hedgehog, Final Fantasy, Metal Gear and Metroid. The console manufacturers took back control of third-party development and regulated the market. Measures were introduced to ensure saturation did not happen again, including limiting the number of games a developer could release a year, controlling the manufacture of game cartridges, demanding payment for cartridges upfront, and ensuring newly developed games adhered to a set of rules set by console manufacturers. This put pressure on publishers and added a risk to development. It meant developers were forced to concentrate on the quality of their games more so than the quantity and speed at which they could be made. Atari and Sega incorporated backward compatibility in the Atari 7800 and Master System respectively, elongating the lifespan of their early console games. Both companies never released another backward compatible console, with the partial exception that Master System games can be played on the Sega Genesis using a separately sold peripheral. During this time, Metroid became notable for its open world the player could traverse in all directions, while most similar games were still primarily side-scrolling in a single direction. It also featured a strong female protagonist who is often credited for improving the portrayal of women in gaming. Star Fox was Nintendo's first use of polygonal graphics and Sonic the Hedgehog introduced a rival to Nintendo's mascot, Mario, who became a long-standing character for Sega in a number of different types of media. The fifth generation of consoles saw the move from 2D to 3D graphics and the change in storage media from cartridges to optical discs. Analogue controllers became popular, allowing for a finer and smoother movement control scheme compared to the directional pad."
Cotton Early history,"The earliest evidence of the use of cotton in the Old World, dated to 5500 BC and preserved in copper beads, has been found at the Neolithic site of Mehrgarh, at the foot of the Bolan Pass in ancient India, today in Balochistan Pakistan. Fragments of cotton textiles have been found at Mohenjo-daro and other sites of the Bronze Age Indus Valley civilization, and cotton may have been an important export from it. Cotton bolls discovered in a cave near Tehuacán, Mexico, have been dated to as early as 5500 BC, but this date has been challenged. More securely dated is the domestication of Gossypium hirsutum in Mexico between around 3400 and 2300 BC. During this time, people between the Río Santiago and the Río Balsas grew, spun, wove, dyed, and sewed cotton. What they did not use themselves, they sent to their Aztec rulers as tribute, on the scale of ~116 million pounds annually. In Peru, cultivation of the indigenous cotton species Gossypium barbadense has been dated, from a find in Ancon, to c. 4200 BC, and was the backbone of the development of coastal cultures such as the Norte Chico, Moche, and Nazca. Cotton was grown upriver, made into nets, and traded with fishing villages along the coast for large supplies of fish. The Spanish who came to Mexico and Peru in the early 16th century found the people growing cotton and wearing clothing made of it. The Greeks and the Arabs were not familiar with cotton until the Wars of Alexander the Great, as his contemporary Megasthenes told Seleucus I Nicator of ""there being trees on which wool grows"" in ""Indica."" This may be a reference to ""tree cotton"", Gossypium arboreum, which is native to the Indian subcontinent."
Milk (industrialization),"The growth in urban population, coupled with the expansion of the railway network in the mid-19th century, brought about a revolution in milk production and supply. Individual railway firms began transporting milk from rural areas to London from the 1840s and 1850s. Possibly the first such instance was in 1846, when St Thomas's Hospital in Southwark contracted with milk suppliers outside London to ship milk by rail. The Great Western Railway was an early and enthusiastic adopter, and began to transport milk into London from Maidenhead in 1860, despite much criticism. By 1900, the company was transporting over 25 million imperial gallons (110 million litres; 30 million US gallons) annually. Urban demand began to grow, as consumer purchasing power increased and milk became regarded as a required daily commodity. Over the last three decades of the 19th century, demand for milk in most parts of the country doubled or, in some cases, tripled. Legislation in 1875 made the adulteration of milk illegal – This combined with a marketing campaign to change the image of milk. The proportion of rural imports by rail as a percentage of total milk consumption in London grew from under 5% in the 1860s to over 96% by the early 20th century. By that point, the supply system for milk was the most highly organized and integrated of any food product. Milk was analyzed for infection with tuberculosis. In 1907 180 samples were tested in Birmingham and 13.3% were found to be infected. The first glass bottle packaging for milk was used in the 1870s. The first company to do so may have been the New York Dairy Company in 1877. The Express Dairy Company in England began glass bottle production in 1880. In 1884, Hervey Thatcher, an American inventor from New York, invented a glass milk bottle, called ""Thatcher's Common Sense Milk Jar,"" which was sealed with a waxed paper disk. In 1932, plastic-coated paper milk cartons were introduced commercially."
Chocolate (Mesoamerican usage),"Chocolate has been prepared as a drink for nearly all of its history. For example, one vessel found at an Olmec archaeological site on the Gulf Coast of Veracruz, Mexico, dates chocolate's preparation by pre-Olmec peoples as early as 1750 BC. On the Pacific coast of Chiapas, Mexico, a Mokaya archaeological site provides evidence of cocoa beverages dating even earlier to 1900 BC. The residues and the kind of vessel in which they were found indicate the initial use of cocoa was not simply as a beverage; the white pulp around the cocoa beans was likely used as a source of fermentable sugars for an alcoholic drink. An early Classic-period (460–480 AD) Maya tomb from the site in Rio Azul had vessels with the Maya glyph for cocoa on them with residue of a chocolate drink, which suggests that the Maya were drinking chocolate around 400 AD. Documents in Maya hieroglyphs stated that chocolate was used for ceremonial purposes in addition to everyday life. The Maya grew cacao trees in their backyards and used the cocoa seeds the trees produced to make a frothy, bitter drink. By the 15th century, the Aztecs had gained control of a large part of Mesoamerica and had adopted cocoa into their culture. They associated chocolate with Quetzalcoatl, who, according to one legend, was cast away by the other gods for sharing chocolate with humans, and identified its extrication from the pod with the removal of the human heart in sacrifice. In contrast to the Maya, who liked their chocolate warm, the Aztecs drank it cold, seasoning it with a broad variety of additives, including the petals of the Cymbopetalum penduliflorum tree, chili pepper, allspice, vanilla, and honey. The Aztecs were unable to grow cocoa themselves, as their home in the Mexican highlands was unsuitable for it, so chocolate was a luxury imported into the empire. Those who lived in areas ruled by the Aztecs were required to offer cocoa seeds in payment of the tax they deemed ""tribute""."
Mongol Empire (Pre-empire context),"The area around Mongolia, Manchuria, and parts of North China had been controlled by the Khitan-led Liao dynasty since the 10th century. In 1125, the Jin dynasty founded by the Jurchens overthrew the Liao dynasty and attempted to gain control over former Liao territory in Mongolia. In the 1130s the Jin dynasty rulers, known as the Golden Kings, successfully resisted the Khamag Mongol confederation, ruled at the time by Khabul Khan, great-grandfather of Genghis Khan. The Mongolian plateau was occupied mainly by five powerful tribal confederations (khanlig): Keraites, Khamag Mongol, Naiman, Mergid, and Tatar. The Jin emperors, following a policy of divide and rule, encouraged disputes among the tribes, especially between the Tatars and the Mongols, in order to keep the nomadic tribes distracted by their own battles and thereby away from the Jin. Khabul's successor was Ambaghai Khan, who was betrayed by the Tatars, handed over to the Jurchen, and executed. The Mongols retaliated by raiding the frontier, resulting in a failed Jurchen counter-attack in 1143. In 1147, the Jin somewhat changed their policy, signing a peace treaty with the Mongols and withdrawing from a score of forts. The Mongols then resumed attacks on the Tatars to avenge the death of their late khan, opening a long period of active hostilities. The Jin and Tatar armies defeated the Mongols in 1161. During the rise of the Mongol Empire in the 13th century, the usually cold, parched steppes of Central Asia enjoyed their mildest, wettest conditions in more than a millennium. It is thought that this resulted in a rapid increase in the number of war horses and other livestock, which significantly enhanced Mongol military strength."
Mongole Empire (Early organization),"Genghis Khan introduced many innovative ways of organizing his army: for example dividing it into decimal subsections of arbans (10 soldiers), zuuns (100), Mingghans (1000), and tumens (10,000). The Kheshig, the imperial guard, was founded and divided into day (khorchin torghuds) and night (khevtuul) guards. Genghis rewarded those who had been loyal to him and placed them in high positions, as heads of army units and households, even though many of them came from very low-ranking clans. Compared to the units he gave to his loyal companions, those assigned to his own family members were relatively few. He proclaimed a new code of law of the empire, Ikh Zasag or Yassa; later he expanded it to cover much of the everyday life and political affairs of the nomads. He forbade the selling of women, theft, fighting among the Mongols, and the hunting of animals during the breeding season. He appointed his stepbrother Shikhikhutug as supreme judge (jarughachi), ordering him to keep records of the empire. In addition to laws regarding family, food, and the army, Genghis also decreed religious freedom and supported domestic and international trade. He exempted the poor and the clergy from taxation. He also encouraged literacy and the adaptation of the Uyghur script into what would become the Mongolian script of the empire, ordering the Uyghur Tata-tonga, who had previously served the khan of Naimans, to instruct his sons."
Tea Chemical composition,"Physically speaking, tea has properties of both a solution and a suspension. It is a solution of all the water-soluble compounds that have been extracted from the tea leaves, such as the polyphenols and amino acids, but is a suspension when all of the insoluble components are considered, such as the cellulose in the tea leaves.[citation needed] Tea infusions are among most consumed beverages globally. Caffeine makes up about 3% of tea's dry weight, which translates to between 30 and 90 milligrams per 250-millilitre (8+1⁄2 US fl oz) cup depending on the type, brand, and brewing method. A study found that the caffeine content of one gram of black tea ranged from 22 to 28 mg, while the caffeine content of one gram of green tea ranged from 11 to 20 mg, reflecting a significant difference. Tea also contains small amounts of theobromine and theophylline, which are xanthines and stimulants, similar to caffeine. The astringency in tea can be attributed to the presence of polyphenols. These are the most abundant compounds in tea leaves, making up 30–40% of their composition. Polyphenols in tea include flavonoids, epigallocatechin gallate (EGCG), and other catechins. Although there has been preliminary clinical research on whether green or black teas may protect against various human diseases, there is no evidence that tea polyphenols have any effect on health or lowering disease risk."
Tea Cultivation and harvesting,"Camellia sinensis is an evergreen plant that grows mainly in tropical and subtropical climates. Some varieties can also tolerate marine climates and are cultivated as far north as Cornwall in England, Perthshire in Scotland, Washington in the United States, and Vancouver Island in Canada. In the Southern Hemisphere, tea is grown as far south as Hobart in Tasmania and Waikato in New Zealand. Tea plants are propagated from seed and cuttings; about 4 to 12 years are needed for a plant to bear seed and about three years before a new plant is ready for harvesting.[68] In addition to a zone 8 climate or warmer, tea plants require at least 127 cm (50 in) of rainfall per year and prefer acidic soils. Many high-quality tea plants are cultivated at elevations of up to 1,500 m (4,900 ft) above sea level. Though at these heights the plants grow more slowly, they acquire a better flavour. Two principal varieties are used: Camellia sinensis var. sinensis, which is used for most Chinese, Formosan and Japanese teas, and C. sinensis var. assamica, used in Pu-erh and most Indian teas (but not Darjeeling). Within these botanical varieties, many strains and modern clonal varieties are known. Leaf size is the chief criterion for the classification of tea plants, with three primary classifications being: Assam type, characterised by the largest leaves; China type, characterised by the smallest leaves; and Cambodian type, characterised by leaves of intermediate size. The Cambodian-type tea (C. assamica subsp. lasiocaly) was originally considered a type of Assam tea. However, later genetic work showed that it is a hybrid between Chinese small-leaf tea and Assam-type tea. Darjeeling tea also appears to be a hybrid between Chinese small-leaf tea and Assam-type large-leaf tea."
Gulliver (4 May 1699 – 13 April 1702),"During his first voyage, Gulliver is washed ashore after a shipwreck and finds himself a prisoner of a race of tiny people, less than 6 inches (15 cm) tall, who are inhabitants of the island country of Lilliput. After giving assurances of his good behaviour, he is given a residence in Lilliput and becomes a favourite of the Lilliput Royal Court. He is also given permission by the King of Lilliput to go around the city on the condition that he must not hurt their subjects. At first, the Lilliputians are hospitable to Gulliver, but they are also wary of the threat that his size poses to them. The Lilliputians reveal themselves to be a people who put great emphasis on trivial matters. For example, which end of an egg a person cracks becomes the basis of a deep political rift within that nation. They are a people who revel in displays of authority and performances of power. Gulliver assists the Lilliputians to subdue their neighbours the Blefuscudians by stealing their fleet. However, he refuses to reduce the island nation of Blefuscu to a province of Lilliput, displeasing the King and the royal court. Gulliver is charged with treason for, among other crimes, urinating in the capital though he was putting out a fire. He is convicted and sentenced to be blinded. With the assistance of a kind friend, ""a considerable person at court"", he escapes to Blefuscu. Here, he spots and retrieves an abandoned boat and sails out to be rescued by a passing ship, which safely takes him back home with some Lilliputian animals he carries with him."
Michelle Obama (Career),"Following law school, Obama became an associate at the Chicago office of the law firm Sidley & Austin, where she met her future husband Barack. At the firm, she worked on marketing and intellectual property law. She continues to hold her law license, but as she no longer needs it for her work, she has kept it on a voluntary inactive status since 1993. In 1991, she held public sector positions in the Chicago city government as an Assistant to the Mayor, and as Assistant Commissioner of Planning and Development. In 1993, she became executive director for the Chicago office of Public Allies, a non-profit organization encouraging young people to work on social issues in nonprofit groups and government agencies. She worked there nearly four years and set fundraising records for the organization that still stood twelve years after she had left. Obama later said she had never been happier in her life prior to working ""to build Public Allies"". In 1996, Obama served as the Associate Dean of Student Services at the University of Chicago, where she developed the university's Community Service Center. In 2002, she began working for the University of Chicago Hospitals, first as executive director for community affairs and, beginning May 2005, as vice president for Community and External Affairs. She continued to hold the University of Chicago Hospitals position during the primary campaign of 2008, but cut back to part-time in order to spend time with her daughters as well as work for her husband's election. She subsequently took a leave of absence from her job."
Koala Social life,"Koalas are asocial animals and spend just 15 minutes a day on social behaviours. Where there are more koalas and fewer trees, home ranges are smaller and more clumped while the reverse is true for areas with fewer animals and more trees.  Koala society appears to consist of ""residents"" and ""transients"", the former being mostly adult females and the latter males. Resident males appear to be territorial and dominant. The territories of dominant males are found near breeding females, while younger males must wait until they reach full size to challenge for breeding rights. Adult males occasionally venture outside their home ranges; when they do so, dominant ones retain their status.  As a male climbs a new tree, he rubs his chest against it and sometimes dribbles urine. This scent-marking behaviour probably serves as communication, and individuals are known to sniff the bottom of a newly found tree. Chest gland secretions are complex chemical mixtures — about 40 compounds were identified in one analysis — that vary in composition and concentration with the season and the age of the individual. Adult males communicate with loud bellows — ""a long series of deep, snoring inhalations and belching exhalations"". Because of their low frequency, these bellows can travel far through the forest.  Koalas may bellow at any time of the year, particularly during the breeding season, when it serves to attract females and possibly intimidate other males. They also bellow to advertise their presence to their neighbours when they climb a different tree.  These sounds signal the male's actual body size, as well as exaggerate it; females pay more attention to bellows that originate from larger males. Female koalas bellow, though more softly, in addition to making snarls, wails, and screams. These calls are produced when in distress and when making defensive threats. Squeaking and sqawking are produced when distraught; the former is made by younger animals and the latter by older ones. When another individual climbs over it, a koala makes a low closed-mouth grunt. Koalas also communicate with facial expressions."
2023 Plateau State massacres,"The 2023 Plateau State massacres were a series of armed attacks occurring between 23–25 December 2023 in Plateau State in central Nigeria. They impacted at least 17 rural communities in the Nigerian local government areas of Bokkos and Barkin Ladi, resulting in at least 200 deaths and injuries to more than 500 people, as well as significant property damage. Although no group claimed responsibility for the attacks, they are believed to have been committed by Fulani militias. Plateau State is in Nigeria's Middle Belt and has a history of ethnic and religious conflicts, mainly between Muslim Fulani herders and Christian farmers. The bandit conflict began in 2011 as a result of disagreements over land ownership and grazing rights between the herders and farmers. Banditry and insecurity are exacerbated by Nigeria's high fertility rate (5.3 as of 2023), with the large youth population suffering from unemployment and underemployment that makes them susceptible to radicalism and banditry. Climate change and the expansion of agriculture also lead to increased conflict. Previous attacks occurred in the region in April 2022 and May 2023. Miyetti Allah (MACBAN), an advocacy group for Fulani interests, accused state security personnel of colluding with farmers to attack Fulani herders. Muhammed Nuru Abdullahi, the state chairman of the MACBAN, claimed the violence began with a failed act of ""cattle rustling"" against Fulani on 23 December, where three cattle breeders were killed and the theft of 181 cows was attempted, and that 130 houses were burned in several Fulani villages on 24 December. He recommended that ""in order to end the incessant clashes between farmers and herders, the Federal Government should establish ranches in Plateau State and other states of the Federation for animal husbandry."""
Green Bay Packers (Franchise history),"The Green Bay Packers were founded on August 11, 1919 by former high-school football rivals Earl ""Curly"" Lambeau and George Whitney Calhoun. Lambeau solicited funds for uniforms from his employer, the Indian Packing Company, a meat packing company. He was given $500 ($8,400 today) for uniforms and equipment, on the condition that the team be named after its sponsor. The Green Bay Packers have played in their original city longer than any other team in the NFL. On August 27, 1921, the Packers were granted a franchise in the American Professional Football Association, a new national pro football league that had been formed the previous year. The APFA changed its name to the National Football League a year later. Financial troubles plagued the team and the franchise was forfeited within the year before Lambeau found new financial backers and regained the franchise the next year. These backers, known as ""The Hungry Five"", formed the Green Bay Football Corporation. After a near-miss in 1927, Lambeau's squad claimed the Packers' first NFL title in 1929 with an undefeated 12–0–1 campaign, behind a stifling defense which registered eight shutouts. Green Bay would repeat as league champions in 1930 and 1931, bettering teams from New York, Chicago and throughout the league, with all-time greats and future Hall of Famers Mike Michalske, Johnny (Blood) McNally, Cal Hubbard and Green Bay native Arnie Herber. Among the many impressive accomplishments of these years was the Packers' streak of 29 consecutive home games without defeat, an NFL record which still stands. The arrival of end Don Hutson from Alabama in 1935 gave Lambeau and the Packers the most-feared and dynamic offensive weapon in the game. Credited with inventing pass patterns, Hutson would lead the league in receptions eight seasons and spur the Packers to NFL championships in 1936, 1939 and 1944. An iron man, Hutson played both ways, leading the league in interceptions as a safety in 1940. Hutson claimed 18 NFL records when he retired in 1945, many of which still stand."
Public Domain (history),"Although the term domain did not come into use until the mid-18th century, the concept can be traced back to the ancient Roman law, ""as a preset system included in the property right system"". The Romans had a large proprietary rights system where they defined ""many things that cannot be privately owned"" as res nullius, res communes, res publicae and res universitatis. The term res nullius was defined as things not yet appropriated. The term res communes was defined as ""things that could be commonly enjoyed by mankind, such as air, sunlight and ocean."" The term res publicae referred to things that were shared by all citizens, and the term res universitatis meant things that were owned by the municipalities of Rome. When looking at it from a historical perspective, one could say the construction of the idea of ""public domain"" sprouted from the concepts of res communes, res publicae, and res universitatis in early Roman law. When the first early copyright law was originally established in Britain with the Statute of Anne in 1710, public domain did not appear. However, similar concepts were developed by British and French jurists in the 18th century. Instead of ""public domain"", they used terms such as publici juris or propriété publique to describe works that were not covered by copyright law. The phrase ""fall in the public domain"" can be traced to mid-19th-century France to describe the end of copyright term. The French poet Alfred de Vigny equated the expiration of copyright with a work falling ""into the sink hole of public domain"" and if the public domain receives any attention from intellectual property lawyers it is still treated as little more than that which is left when intellectual property rights, such as copyright, patents, and trademarks, expire or are abandoned. In this historical context Paul Torremans describes copyright as a, ""little coral reef of private right jutting up from the ocean of the public domain."" Copyright law differs by country, and the American legal scholar Pamela Samuelson has described the public domain as being ""different sizes at different times in different countries""."
Urbanization History,"From the development of the earliest cities in Indus valley civilization, Mesopotamia and Egypt until the 18th century, an equilibrium existed between the vast majority of the population who were engaged in subsistence agriculture in a rural context, and small centres of populations in the towns where economic activity consisted primarily of trade at markets and manufactures on a small scale. Due to the primitive and relatively stagnant state of agriculture throughout this period, the ratio of rural to urban population remained at a fixed equilibrium. However, a significant increase in the percentage of the global urban population can be traced in the 1st millennium BCE. With the onset of the British agricultural and industrial revolution in the late 18th century, this relationship was finally broken and an unprecedented growth in urban population took place over the course of the 19th century, both through continued migration from the countryside and due to the tremendous demographic expansion that occurred at that time. In England and Wales, the proportion of the population living in cities with more than 20,000 people jumped from 17% in 1801 to 54% in 1891. Moreover, and adopting a broader definition of urbanization, while the urbanized population in England and Wales represented 72% of the total in 1891, for other countries the figure was 37% in France, 41% in Prussia and 28% in the United States. As labourers were freed up from working the land due to higher agricultural productivity they converged on the new industrial cities like Manchester and Birmingham which were experiencing a boom in commerce, trade, and industry. Growing trade around the world also allowed cereals to be imported from North America and refrigerated meat from Australasia and South America. Spatially, cities also expanded due to the development of public transport systems, which facilitated commutes of longer distances to the city centre for the working class. Urbanization rapidly spread across the Western world and, since the 1950s, it has begun to take hold in the developing world as well. At the turn of the 20th century, just 15% of the world population lived in cities. According to the UN, the year 2007 witnessed the turning point when more than 50% of the world population were living in cities, for the first time in human history."
E. S. Brusky Career,"After graduating with his medical degree, Brusky and his brother Alvin, also a doctor, started a small clinic in Green Bay in 1946. In the early 1950s, they moved their practice to the west side of the city and renamed it to the West Side Clinic. It became the first doctor's office in Green Bay that was not located in the downtown area. Brusky worked his entire medical career at the West Side Clinic, where he practiced a broad range of medicine that included delivering babies, orthopedics and surgery, before retiring in 1987. During his career, he worked with the local Catholic diocese to move and re-establish St. Mary's Hospital in Green Bay. In 1962, Brusky was hired by the Green Bay Packers to be the team physician. He was hired after another doctor, Mason LeTellier, gave a recommendation to Packers head coach Vince Lombardi while they were golfing. Lombardi noted to LeTellier that his players were seeing numerous doctors, who all had differing opinions regarding injuries and ailments. LeTellier told Lombardi to talk with Brusky, who Lombardi had golfed with before at the Oneida Golf and Riding Club. Lombardi met with Brusky the next day and hired him, although for almost ten years the position was unpaid, with Brusky only being reimbursed for expenses. Brusky set-up his own office, which included an x-ray machine. Brusky continued in this role for 29 years before retiring in 1990 as the longest tenured team physician in the NFL. Before his retirement, he trained his replacement, Clarence Novotny, who he had worked with at the West Side Clinic; he provided some assistance to Novotny during the 1991 NFL season. Brusky was embroiled in a small controversy just prior to his retirement. Don Majkowski, the Packers' quarterback, suffered a shoulder injury in a game during the 1990 NFL season. Brusky cleared Majkowski to play, however when Majkowski attempted to throw the ball he said he was in too much pain to play. Brusky made public comments saying that Majkowski was clear to play, however after a second opinion, a tear was found in Majkowski's rotator cuff and he had surgery and was out for the rest of the season."
Pope Francis election,"Bergoglio was elected pope on 13 March 2013, the second day of the 2013 papal conclave, taking the papal name Francis. Francis was elected on the fifth ballot of the conclave. The Habemus papam announcement was delivered by the cardinal protodeacon, Jean-Louis Tauran. Cardinal Christoph Schönborn later said that Bergoglio was elected following two supernatural signs, one in the conclave - and hence confidential - and a Latin-American couple, friends of Schönborn at Vatican City, who whispered Bergoglio's name in the elector's ear; Schönborn commented ""if these people say Bergoglio, that's an indication of the Holy Spirit"". Instead of accepting his cardinals' congratulations while seated on the papal throne, Francis received them standing, reportedly an immediate sign of a changing approach to formalities at the Vatican. During his first appearance as pontiff on the balcony of Saint Peter's Basilica, he wore a white cassock, not the red, ermine-trimmed mozzetta used by previous popes. He also wore the same iron pectoral cross that he had worn as archbishop of Buenos Aires, rather than the gold one worn by his predecessors. After being elected and choosing his name, his first act was bestowing the Urbi et Orbi blessing on thousands of pilgrims gathered in St. Peter's Square. Before blessing the crowd, he asked those in St. Peter's Square to pray for his predecessor, ""the bishop emeritus of Rome"" Pope Benedict XVI, and for himself as the new ""bishop of Rome"". Francis held his papal inauguration on 19 March 2013 in St. Peter's Square in the Vatican. He celebrated Mass in the presence of various political and religious leaders from around the world. In his homily Francis focused on the Solemnity of Saint Joseph, the liturgical day on which the Mass was celebrated."
1999 Düzce earthquake,"The 1999 Düzce earthquake occurred on 12 November at 18:57:22 local time with a moment magnitude of 7.2 and a maximum Mercalli intensity of IX (Violent), causing damage and at least 845 fatalities in Düzce, Turkey. The epicenter was approximately 100 km (62 mi) to the east of the extremely destructive 1999 İzmit earthquake that happened nearly three months earlier. Both strike-slip earthquakes were caused by movement on the North Anatolian Fault. The western and central parts of Turkey lie on the eastern part of the Anatolian Plate, which is currently being forced to the west by the continuing northward movement of the Arabian Plate. In northern Turkey, this westward motion is taken up by a major zone of dextral (right-lateral) strike-slip, the North Anatolian Fault. The 1999 Düzce event is the most recent in a sequence of large earthquakes that have affected the North Anatolian Fault, starting towards the eastern end with the 1939 Erzincan earthquake, then propagating towards the west with events in 1942, 1943, 1944, 1951, 1957, 1967 and finally the 1999 İzmit event. At its western end the North Anatolian Fault splits into two main segments, with the northern of these giving rise to the 1999 earthquakes. The earthquake had an estimated magnitude in the range 7.1–7.2 on the moment magnitude scale. The International Seismological Centre gives a magnitude of 7.16±0.1 for this event in their catalogue. The maximum measured intensity was IX at a seismometer about 4 km from the epicentre, with a peak ground acceleration of 147.80%g and a peak ground velocity of 113.02 cm/sec. Düzce and surrounding areas had already been quite badly affected by the İzmit earthquake a few months earlier, so that many buildings were already in a weakened state when the November earthquake struck. The number of fatalities in Düzce is recorded as 478, with an additional 313 in the town of Kaynaşlı and 48 in the city of Bolu. A significant number of deaths were attributed to the presence of traditional heaters causing fires and related smoke effects, particularly in Kaynaşlı."
Moon landing,"A Moon landing or lunar landing is the arrival of a spacecraft on the surface of the Moon. This includes both crewed and robotic missions. The first human-made object to touch the Moon was the Soviet Union's Luna 2, on 13 September 1959. The United States' Apollo 11 was the first crewed mission to land on the Moon, on 20 July 1969. There were six crewed U.S. landings between 1969 and 1972, and numerous uncrewed landings, with no soft landings happening between 22 August 1976 and 14 December 2013. The United States is the only country to have successfully conducted crewed missions to the Moon, with the last departing the lunar surface in December 1972. All soft landings took place on the near side of the Moon until 3 January 2019, when the Chinese Chang'e 4 spacecraft made the first landing on the far side of the Moon. Six national space agencies (Interkosmos, NASA, CNSA, ISRO, JAXA and the European Space Agency) have reached the moon with uncrewed missions that achieved varying degrees of success, as well as two private/commercial missions from Israel and Japan. The Soviet Union (Interkosmos), the United States (NASA), China (CNSA) and India (ISRO) are the only four nations to have successfully achieved soft landings. The Soviet Union performed the first hard Moon landing – ""hard"" meaning the spacecraft intentionally crashes into the Moon at high speeds – with the Luna 2 spacecraft in 1959, a feat the U.S. duplicated in 1962 with Ranger 4. More recently, other space programs have made intentional hard landings, sometimes with end-of-life lunar orbiters that could no longer maintain their orbits. Japan's lunar orbiter Hiten impacted the Moon's surface on 10 April 1993. The European Space Agency performed a controlled crash impact with their orbiter SMART-1 on 3 September 2006. The Indian Space Research Organisation (ISRO) performed a controlled crash impact with its Moon Impact Probe (MIP) on 14 November 2008. The Chinese lunar orbiter Chang'e 1 executed a controlled crash onto the surface of the Moon on 1 March 2009."
