narrative,Jaccard,# Sentences,# Characters,# Tokens,Text
Gautier (Life and time),0.09,4.0,434.0,87.0,"Towards the end of 1830, Gautier began to frequent meetings of Le Petit Cénacle (The Little Upper Room), a group of artists who met in the studio of Jehan Du Seigneur. The group was a more irresponsible version of Hugo's Cénacle. Among its members were the artists Gérard de Nerval, Alexandre Dumas, père, Petrus Borel, Alphonse Brot, and Philothée O’Neddy. Le Petit Cénacle soon gained a reputation for extravagance and eccentricity."
Gautier (Life and time),0.07,4.0,749.0,151.0,"Gautier began writing poetry as early as 1826, but the majority of his life was spent as a contributor to various journals, mainly La Presse, which also gave him the opportunity for foreign travel and for meeting many influential contacts in high society and in the world of the arts. Throughout his life, Gautier was well-traveled, taking trips to Spain, Italy, Russia, Egypt and Algeria. Gautier's many travels inspired many of his writings including Voyage en Espagne (1843), Trésors d’Art de la Russie (1858), and Voyage en Russie (1867). Gautier's travel literature is considered by many as being some of the best from the nineteenth century; often written in a personal style, it provides a window into Gautier's own tastes in art and culture."
Gautier (Life and time),0.03,1.0,259.0,49.0,"Gautier was a celebrated abandonné (one who yields or abandons himself to something) of the Romantic Ballet, writing several scenarios, the most famous of which is Giselle, whose first interpreter, the ballerina Carlotta Grisi, was the great love of his life."
"Rambles in Germany and Italy, Travelling and writing (1840)",0.52,2.0,244.0,49.0,"Mary Shelley and her husband Percy Bysshe Shelley had lived in Italy from 1818 to 1822. Although Percy Shelley and two of their four children died there, Italy became for Mary Shelley ""a country which memory painted as paradise"", as she put it."
"Rambles in Germany and Italy, Travelling and writing (1840)",0.09,2.0,243.0,43.0,"The couple's Italian years were a time of intense intellectual and creative activity. Percy composed a series of major poems, and Mary wrote the autobiographical novel Matilda, the historical novel Valperga, and the plays Proserpine and Midas."
"Rambles in Germany and Italy, Travelling and writing (1840)",0.03,2.0,268.0,52.0,"Mary Shelley had always wanted to return to Italy and she excitedly planned her 1840 trip. In June 1840, Mary Shelley, Percy Florence (her one surviving child), and a few of his friends—George Defell, Julian Robinson, and Robert Leslie Ellis—began their European tour."
"Rambles in Germany and Italy, Travelling and writing (1840)",0.36,3.0,401.0,81.0,"They travelled to Paris and then to Metz. From there, they went down the Moselle by boat to Coblenz and then up the Rhine to Mainz, Frankfurt, Heidelberg, Baden-Baden, Freiburg, Schaffhausen, Zürich, the Splügen, and Chiavenna. Feeling ill, Shelley rested at a spa in Baden-Baden; she had wracking pains in her head and ""convulsive shudders"", symptoms of the meningioma that would eventually kill her."
"Rambles in Germany and Italy, Travelling and writing (1840)",0.58,2.0,393.0,75.0,"This stop dismayed Percy Florence and his friends, as it provided no entertainment for them; moreover, since none of them spoke German, the group was forced to remain together. After crossing Switzerland by carriage and railway, the group spent two months at Lake Como, where Mary relaxed and reminisced about how she and Percy had almost rented a villa with Lord Byron at the lake one summer."
"Rambles in Germany and Italy, Travelling and writing (1840)",0.42,5.0,511.0,107.0,"The group then travelled on to Milan, and from there, Percy Florence and his friends soon left for Cambridge to take their university finals. Mary Shelley remained, waiting for funds to complete her journey. In September, she returned to England via Geneva and Paris. Upon her return, she became depressed and could not write: ""[in Italy] I might live – as once I lived—hoping—loving—aspiring enjoying ... I am placid now, & the days go by – I am happy in Percy [Florence's] society & health – but no adjuncts""."
Le Corricolo (The trip to Italy),0.81,1.0,210.0,43.0,"Le Corricolo, published in English as Sketches of Naples, is a work by Alexandre Dumas published in 1843, in which he recalls the trip he made from Rome to Naples in 1835, with the painter Louis Godefroy Jadin."
Le Corricolo (The trip to Italy),0.56,4.0,503.0,103.0,"The original idea of Dumas was a trip along the coast of the whole Mediterranean. This trip should have given him material for a travel book. In order to do that, in 1834 he launched several subscriptions, but he was unable to raise the entire sum needed for the trip. So, he had to reduce the scope of his trip to southern Italy, and it is likely that Dumas had tried to get in touch with revolutionary and Mazzinian elements in the Kingdom of the Two Sicilies, with a view to an anti-Bourbon uprising."
Le Corricolo (The trip to Italy),0.1,4.0,628.0,129.0,"On 12 May 1835 he left together with his friend Louis Godefroy Jadin, a painter, Jadin's dog, Milord, his mistress and later wife, Ida Ferrier, and her sister. Passing through Toulon, Nice, Genoa, Livorno, Pisa and Florence (where he arrived on 1 July) he reached Rome, where he asked Ferdinand II's ambassador for permission to visit the Kingdom of the Two Sicilies. Unfortunately, he had been denounced as a republican agitator and was banned from visiting the kingdom. Due to that, he traveled to the Kingdom of the Two Sicilies using the name of Joseph Guichard, a painter and resident of the French Academy at Villa Medici."
Le Corricolo (The trip to Italy),0.11,1.0,240.0,47.0,"He traveled clandestinely, always accompanied by his friends, and, after reaching Naples, where he left his lover, he embarked for Sicily on a small boat and was joined by the contralto Caroline Ungher, who became his lover during the trip."
Le Corricolo (The trip to Italy),0.12,2.0,305.0,64.0,"He returned to Naples at the end of October 1835 and found Ida, but he was forced to leave the city on 23 November, after only three weeks, after being denounced. Dumas had to wait ten years for the final draft of the romance, time which allowed him to search for literary sources to make the work richer."
Corinne (plot),0.66,2.0,256.0,55.0,"Corinne, or Italy (French: Corinne ou l'Italie), also known as Corinne, is a novel by the Genevan and French writer Germaine de Staël, published in 1807. It relates a love story between an Italian poet, Corinne, and Lord Oswald Nelvil, an English nobleman."
Corinne (plot),0.14,6.0,827.0,166.0,"The plot begins in the winter of 1794 to 1795. Lord Oswald Nelvil, a Scottish peer, travels to Italy on the advice of his doctors and friends in order to overcome health problems caused in part by a painful bereavement, the death of his father. Oswald considers himself guilty of his father's death, because he caused him serious worry for reasons that are not stated in detail at the beginning of the novel, and he did not know how to reach him in time to reassure him and obtain his forgiveness before his death. Haunted by his grief and his guilt, Oswald struggles to regain a taste for life. Enlisted in the army, he awaits the mobilisation of his regiment, which does not come, and he resolves to travel to Italy in the meantime. He first meets the Comte d'Erfeuil, a Frenchman who emigrated to flee the French Revolution."
Corinne (plot),0.08,2.0,321.0,62.0,"The next day, when he wakes up, Oswald finds the city celebrating: they are preparing to crown the poet Corinne, the most famous artist in the country, at the Capitoline Hill. Intrigued, Oswald goes to the festive ceremony and unexpectedly becomes passionate about the poet and her poetry, because her talent is dazzling."
Corinne (plot),0.08,3.0,197.0,40.0,"Thanks to Erfeuil, Oswald is able to meet Corinne in the literary salon she holds at her home in Rome. He also meets Prince Castel-Forte, Corinne's best friend. Corinne takes an interest in Oswald."
Corinne (plot),0.17,3.0,364.0,73.0,"Corinne and Oswald leave to stay a few days in Naples, where they visit the city and the surrounding countryside. Oswald struggles to overcome the loss of his father and is haunted by the idea that he would have disapproved of Oswald's love. Corinne, for her part, wants to maintain the free, independent life devoted to the arts that she managed to build in Rome."
Stendhal (Life),0.28,5.0,740.0,142.0,"Marie-Henri Baille was born in Grenoble, Isère, on 23 January 1783, into the family of the advocate and landowner Chérubin Beyle and his wife Henriette Gagnon. He was an unhappy child, disliking his ""unimaginative"" father and mourning his mother, whom he loved fervently, and who died in childbirth in 1790, when he was seven. He spent ""the happiest years of his life"" at the Beyle country house in Claix near Grenoble. His closest friend was his younger sister, Pauline, with whom he maintained a steady correspondence throughout the first decade of the 19th century. His family was part of the bourgeois class of the Ancien Regime, which explains his ambiguous attitude toward Napoleon, the Bourbon Restoration, and the monarchy later on."
Stendhal (Life),0.09,2.0,246.0,46.0,"The military and theatrical worlds of the First French Empire were a revelation to Beyle. He was named an auditor with the Conseil d'État on 3 August 1810, and thereafter took part in the French administration and in the Napoleonic wars in Italy."
Stendhal (Life),0.08,4.0,491.0,89.0,"He travelled extensively in Germany and was part of Napoleon's army in the 1812 invasion of Russia. Upon arriving, Stendhal witnessed the burning of Moscow from just outside the city as well as the army's winter retreat. He was appointed Commissioner of War Supplies and sent to Smolensk to prepare provisions for the returning army. He crossed the Berezina River by finding a usable ford rather than the overwhelmed pontoon bridge, which probably saved his life and those of his companions."
Stendhal (Life),0.07,3.0,321.0,60.0,"He arrived in Paris in 1813, largely unaware of the general fiasco that the retreat had become. Stendhal became known, during the Russian campaign, for keeping his wits about him, and maintaining his ""sang-froid and clear-headedness."" He also maintained his daily routine, shaving each day during the retreat from Moscow."
Stendhal (Life),0.07,1.0,85.0,18.0,"After the 1814 Treaty of Fontainebleau, he left for Italy, where he settled in Milan."
Stendhal (Life),0.12,2.0,168.0,33.0,"In 1830, he was appointed as French consul at Trieste and Civitavecchia. He formed a particular attachment to Italy, where he spent much of the remainder of his career."
"Henry James (Late years, 1898–1916)",0.06,2.0,260.0,48.0,"Henry James OM (15 April 1843 – 28 February 1916) was an American-British author. He is regarded as a key transitional figure between literary realism and literary modernism, and is considered by many to be among the greatest novelists in the English language."
"Henry James (Late years, 1898–1916)",0.39,2.0,229.0,49.0,"In 1897–1898, he moved to Rye, Sussex and wrote The Turn of the Screw; 1899–1900 had the publication of The Awkward Age and The Sacred Fount. During 1902–1904, he wrote The Wings of the Dove, The Ambassadors, and The Golden Bowl."
"Henry James (Late years, 1898–1916)",0.07,3.0,409.0,86.0,"In 1904, he revisited America and lectured on Balzac. In 1906–1910, he published The American Scene and edited the ""New York Edition"", a 24-volume collection of his works. In 1910, his brother William died; Henry had just joined William from an unsuccessful search for relief in Europe, on what turned out to be Henry's last visit to the United States (summer 1910 to July 1911) and was near him when he died."
"Henry James (Late years, 1898–1916)",0.07,3.0,254.0,57.0,"In 1913, he wrote his autobiographies, A Small Boy and Others, and Notes of a Son and Brother. After the outbreak of the First World War in 1914, he did war work. In 1915, he became a British citizen and was awarded the Order of Merit the following year."
"Henry James (Late years, 1898–1916)",0.04,4.0,393.0,77.0,"He died on 28 February 1916, in Chelsea, London, and was cremated at Golders Green Crematorium. A memorial was built to him in Chelsea Old Church. He had requested that his ashes be buried in Cambridge Cemetery in Massachusetts. This was not legally possible, but William's wife smuggled his ashes onboard a ship and sneaked them through customs, allowing her to bury him in their family plot."
Joachim du Bellay (Biography),0.54,3.0,542.0,114.0,"Joachim du Bellay was born at the Castle of La Turmelière, not far from Liré, near Angers, being the son of Jean du Bellay, Lord of Gonnor, first cousin of the cardinal Jean du Bellay and of Guillaume du Bellay. His mother was Renée Chabot, daughter of Perceval Chabot and heiress of La Turmelière (Plus me plaît le séjour qu'ont bâti mes aïeux). Both his parents died while he was still a child, and he was left to the guardianship of his elder brother, René du Bellay, who neglected his education, leaving him to run wild at La Turmelière. "
Joachim du Bellay (Biography),0.15,2.0,341.0,67.0,"When he was twenty-three, however, he received permission to study law at the University of Poitiers, no doubt with a view to his obtaining preferment through his kinsman the Cardinal Jean du Bellay. At Poitiers he came in contact with the humanist Marc Antoine Muret, and with Jean Salmon Macrin (1490–1557), a Latin poet famous in his day."
Joachim du Bellay (Biography),0.37,2.0,453.0,91.0,"There too he probably met Jacques Peletier du Mans, who had published a translation of the Ars Poetica of Horace, with a preface in which much of the program advocated later by La Pléiade is to be found in outli It was probably in 1547 that du Bellay met Ronsard in an inn on the way to Poitiers, an event which may justly be regarded as the starting-point of the French school of Renaissance poetry. The two had much in common, and became fast friends."
Joachim du Bellay (Biography),0.58,1.0,273.0,49.0,"While Ronsard and Jean-Antoine de Baïf were most influenced by Greek models, du Bellay was more especially a Latinist, and perhaps his preference for a language so nearly connected with his own had some part in determining the more national and familiar note of his poetry."
Joachim du Bellay (Biography),1.0,1.0,247.0,47.0,"In 1548 appeared the Art poétique of Thomas Sébillet, who enunciated many of the ideas that Ronsard and his followers had at heart, though with essential differences in the point of view, since he held up as models Clément Marot and his disciples."
Julien Gracq (Life),1.0,3.0,266.0,53.0,"Gracq first studied in Paris at the Lycée Henri IV, where he earned his baccalauréat. He then entered the École Normale Supérieure in 1930, later studying at the École libre des sciences politiques (Sciences Po.), both schools of the University of Paris at the time."
Julien Gracq (Life),1.0,2.0,186.0,41.0,"In 1932, he read André Breton's Nadja, which deeply influenced him. His first novel, The Castle of Argol, is dedicated to that surrealist writer, to whom he devoted a whole book in 1948."
Julien Gracq (Life),0.36,3.0,395.0,72.0,"In 1936, he joined the French Communist Party but quit the party in 1939 after the Molotov–Ribbentrop Pact was signed. During the Second World War, he was a prisoner of war in Silesia with other officers of the French Army. One of the friendships he formed there was with author and literary critic Armand Hoog, who later described Gracq as a passionate individualist and ferociously anti-Vichy."
Julien Gracq (Life),0.1,2.0,310.0,56.0,"In 1950, he published a fierce attack on contemporary literary culture and literary prizes in the review Empédocle titled La Littérature à l'estomac. When he won the Prix Goncourt for The Opposing Shore (Le Rivage des Syrtes) the following year, he remained consistent with his criticism and refused the prize."
Julien Gracq (Life),0.09,2.0,292.0,62.0,"Gracq taught history and geography in secondary school (high school) until he retired in 1970. In 1979, he wrote the foreword to a re-edition of the Journal de l'analogiste (1954) by Suzanne Lilar, a work he called a ""sumptuous initiation to poetry"" (""une initiation somptueuse à la poésie"")."
Julien Gracq (Life),0.06,3.0,270.0,52.0,"In 1989, Gracq's work was published by the Bibliothèque de la Pléiade. He remained distant from major literary events and faithful to his first publisher, José Corti. Gracq lived a quiet life in his native town of Saint-Florent-le-Vieil, on the banks of the river Loire."
Julien Gracq (Life),0.09,1.0,118.0,28.0,"On 22 December 2007, a couple of days after suffering a dizzy spell, he died at the age of 97 in a hospital in Angers."
Jazz,0.45,4.0,486.0,89.0,"Jazz is a music genre that originated in the African-American communities of New Orleans, Louisiana, in the late 19th and early 20th centuries, with its roots in blues and ragtime. Since the 1920s Jazz Age, it has been recognized as a major form of musical expression in traditional and popular music. Jazz is characterized by swing and blue notes, complex chords, call and response vocals, polyrhythms and improvisation. Jazz has roots in European harmony and African rhythmic rituals."
Jazz,0.09,2.0,297.0,54.0,"As jazz spread around the world, it drew on national, regional, and local musical cultures, which gave rise to different styles. New Orleans jazz began in the early 1910s, combining earlier brass band marches, French quadrilles, biguine, ragtime and blues with collective polyphonic improvisation."
Jazz,0.09,2.0,287.0,55.0,"But jazz did not begin as a single musical tradition in New Orleans or elsewhere. In the 1930s, arranged dance-oriented swing big bands, Kansas City jazz (a hard-swinging, bluesy, improvisational style), and gypsy jazz (a style that emphasized musette waltzes) were the prominent styles."
Jazz,0.09,2.0,305.0,55.0,"Bebop emerged in the 1940s, shifting jazz from danceable popular music toward a more challenging ""musician's music"" which was played at faster tempos and used more chord-based improvisation. Cool jazz developed near the end of the 1940s, introducing calmer, smoother sounds and long, linear melodic lines."
Jazz,0.1,2.0,389.0,73.0,"The mid-1950s saw the emergence of hard bop, which introduced influences from rhythm and blues, gospel, and blues to small groups and particularly to saxophone and piano. Modal jazz developed in the late 1950s, using the mode, or musical scale, as the basis of musical structure and improvisation, as did free jazz, which explored playing without regular meter, beat and formal structures."
Jazz,0.09,1.0,172.0,29.0,"Jazz-rock fusion appeared in the late 1960s and early 1970s, combining jazz improvisation with rock music's rhythms, electric instruments, and highly amplified stage sound."
Jazz,0.09,2.0,214.0,39.0,"In the early 1980s, a commercial form of jazz fusion called smooth jazz became successful, garnering significant radio airplay. Other styles and genres abound in the 21st century, such as Latin and Afro-Cuban jazz."
AI (Knowledge representation),1.0,2.0,386.0,56.0,"Knowledge representation and knowledge engineering allow AI programs to answer questions intelligently and make deductions about real-world facts. Formal knowledge representations are used in content-based indexing and retrieval, scene interpretation, clinical decision support, knowledge discovery (mining ""interesting"" and actionable inferences from large databases), and other areas."
AI (Knowledge representation),0.95,3.0,640.0,122.0,"A knowledge base is a body of knowledge represented in a form that can be used by a program. An ontology is the set of objects, relations, concepts, and properties used by a particular domain of knowledge. Knowledge bases need to represent things such as: objects, properties, categories and relations between objects;  situations, events, states and time; causes and effects; knowledge about knowledge (what we know about what other people know); default reasoning (things that humans assume are true until they are told differently and will remain true even when other facts are changing); and many other aspects and domains of knowledge."
AI (Knowledge representation),0.39,7.0,984.0,176.0,"Among the most difficult problems in KR are: the breadth of commonsense knowledge (the set of atomic facts that the average person knows is enormous); and the sub-symbolic form of most commonsense knowledge (much of what people know is not represented as ""facts"" or ""statements"" that they could express verbally). Knowledge acquisition is the difficult problem of obtaining knowledge for AI applications. Modern AI gathers knowledge by ""scraping"" the internet (including Wikipedia). The knowledge itself was collected by the volunteers and professionals who published the information (who may or may not have agreed to provide their work to AI companies). This ""crowd sourced"" technique does not guarantee that the knowledge is correct or reliable. The knowledge of Large Language Models (such as ChatGPT) is highly unreliable—it generates misinformation and falsehoods (known as ""hallucinations""). Providing accurate knowledge for these modern AI applications is an unsolved problem."
Cyclone Michaung Meteorological history,0.81,2.0,295.0,52.0,Severe Cyclonic Storm Michaung was a moderate tropical cyclone which formed in the Bay of Bengal during the 2023 North Indian Ocean cyclone season. Michuang originated as a low-pressure area in the Gulf of Thailand which crossed into the Bay of Bengal and became a deep depression on December 2.
Cyclone Michaung Meteorological history,0.29,3.0,245.0,44.0,It developed into a cyclonic storm thereafter and was named Michaung. It was the ninth depression and the sixth named cyclonic storm of the season. The cyclone gradually moved north-west over the next few days towards the eastern coast of India.
Cyclone Michaung Meteorological history,0.02,1.0,229.0,38.0,The storm peaked with sustained winds of 110 km/h (70 mph) causing heavy rainfall in north-eastern Tamil Nadu including Chennai and south-eastern Andhra Pradesh before making landfall near Bapatla in Andhra Pradesh on December 5.
Cyclone Michaung Meteorological history,0.74,2.0,325.0,61.0,"In late November 2023, a low-pressure area crossed into the Bay of Bengal from the Gulf of Thailand. On December 1, the India Meteorological Department (IMD) said the disturbance had developed into a depression in the South Andaman Sea, and was expected to move towards the northwest while strengthening in the Bay of Bengal."
Cyclone Michaung Meteorological history,1.0,2.0,225.0,41.0,"On December 2, the system intensified into a deep depression located about 440 kilometres (270 mi) east-southeast of Puducherry. Thereafter, it intensified into a cyclonic storm, and was assigned the name Michaung by Myanmar."
Cyclone Michaung Meteorological history,1.0,2.0,270.0,49.0,"On December 4, cyclone Michaung reached peak intensity as it approached the coast of Tamil Nadu with winds of 110 kilometres per hour (68 mph), equivalent to a high-end tropical storm on the Saffir–Simpson scale. Michaung moved almost directly northward along the coast."
Cyclone Michaung Meteorological history,0.66,2.0,204.0,38.0,"On December 5, the storm made landfall between Nellore and Machilipatnam in Andhra Pradesh, weakening as it moved inland. By December 6, the storm had weakened to a depression over central Andhra Pradesh."
Steve Vai (Early music career (1978–1986)),0.54,4.0,684.0,141.0,"In 1978, Steve Vai sent both a notated transcription of Frank Zappa's ""The Black Page"", and a recording of his college band, Morning Thunder, to Zappa. Impressed by this, Zappa responded by putting Vai on salary to transcribe his work, which included pieces from the Joe's Garage and Shut Up 'n Play Yer Guitar albums. After leaving Berklee College of Music and moving to California, Vai auditioned for and became a full-time member of Zappa's band, going on his first tour with Zappa in late 1980. Zappa often referred to Vai as his ""little Italian virtuoso"", and Vai is frequently listed in the liner notes of Zappa's albums as having performed ""stunt"" or ""impossible"" guitar parts."
Steve Vai (Early music career (1978–1986)),0.13,1.0,189.0,40.0,"Vai was a featured artist on the 1993 release Zappa's Universe, and in 2006, Vai appeared as a special guest on Dweezil Zappa's Zappa Plays Zappa tour; both projects won Vai a Grammy Award."
Steve Vai (Early music career (1978–1986)),0.12,2.0,302.0,61.0,"After moving on from Zappa's employ in 1983, Vai bought a house in Sylmar, Los Angeles, where he built his first professional studio. During this period, Vai formed two bands (The Classified and 777) as well as writing and recording a large amount of music that was not originally intended for release."
Steve Vai (Early music career (1978–1986)),0.18,3.0,260.0,48.0,"Out of this material, Vai compiled his first studio album Flex-Able. He created his own record label, Akashic Records (later Light Without Heat Records), which he used to take Flex-Able directly to distribution channels. Flex-Able was released in January 1984."
Steve Vai (Early music career (1978–1986)),0.05,3.0,574.0,107.0,"Vai began his rise to public acclaim in 1983 when, shortly before the release of Flex-Able, his composition ""The Attitude Song"" was published in Guitar Player magazine. The song centered itself on a main guitar riff in the time signature 7/16, played over a rhythm section centered in 4/4. Each following section of the song showcased a number of specialized techniques (such as two-handed tapping, whammy bar acrobatics, sweep picking, alternate picking, multi-part harmonies, and odd phrasing) used in angular and exaggerated ways that were unique to the song at the time."
Roman Empire (Geography and demography),0.12,4.0,656.0,112.0,"Roman expansion was mostly accomplished under the Republic, though parts of northern Europe were conquered in the 1st century, when Roman control in Europe, Africa, and Asia was strengthened. Under Augustus, a ""global map of the known world"" was displayed for the first time in public at Rome, coinciding with the creation of the most comprehensive political geography that survives from antiquity, the Geography of Strabo. When Augustus died, the account of his achievements (Res Gestae) prominently featured the geographical cataloguing of the Empire. Geography alongside meticulous written records were central concerns of Roman Imperial administration."
Roman Empire (Geography and demography),0.07,4.0,614.0,108.0,"The Empire reached its largest expanse under Trajan (r. 98–117), encompassing 5 million square kilometres. The traditional population estimate of 55–60 million inhabitants accounted for between one-sixth and one-fourth of the world's total population and made it the most populous unified political entity in the West until the mid-19th century. Recent demographic studies have argued for a population peak from 70 million to more than 100 million. Each of the three largest cities in the Empire – Rome, Alexandria, and Antioch – was almost twice the size of any European city at the beginning of the 17th century."
Roman Empire (Geography and demography),0.06,3.0,219.0,40.0,"Trajan's successor Hadrian adopted a policy of maintaining rather than expanding the empire. Borders (fines) were marked, and the frontiers (limites) patrolled. The most heavily fortified borders were the most unstable."
Apollo 11,0.23,3.0,506.0,100.0,"Apollo 11 (July 16–24, 1969) was the American spaceflight that first landed humans on the Moon. Commander Neil Armstrong and Lunar Module Pilot Buzz Aldrin landed the Apollo Lunar Module Eagle on July 20, 1969, at 20:17 UTC, and Armstrong became the first person to step onto the Moon's surface six hours and 39 minutes later, on July 21 at 02:56 UTC. Aldrin joined him 19 minutes later, and they spent about two and a quarter hours together exploring the site they had named Tranquility Base upon landing."
Apollo 11,0.17,2.0,447.0,90.0,"Armstrong and Aldrin collected 47.5 pounds (21.5 kg) of lunar material to bring back to Earth as pilot Michael Collins flew the Command Module Columbia in lunar orbit, and were on the Moon's surface for 21 hours, 36 minutes before lifting off to rejoin Columbia. Apollo 11 was launched by a Saturn V rocket from Kennedy Space Center on Merritt Island, Florida, on July 16 at 13:32 UTC, and it was the fifth crewed mission of NASA's Apollo program."
Apollo 11,0.08,1.0,400.0,83.0,"The Apollo spacecraft had three parts: a command module (CM) with a cabin for the three astronauts, the only part that returned to Earth; a service module (SM), which supported the command module with propulsion, electrical power, oxygen, and water; and a lunar module (LM) that had two stages—a descent stage for landing on the Moon and an ascent stage to place the astronauts back into lunar orbit."
Apollo 11,0.14,4.0,531.0,99.0,"After being sent to the Moon by the Saturn V's third stage, the astronauts separated the spacecraft from it and traveled for three days until they entered lunar orbit. Armstrong and Aldrin then moved into Eagle and landed in the Sea of Tranquility on July 20. The astronauts used Eagle's ascent stage to lift off from the lunar surface and rejoin Collins in the command module. They jettisoned Eagle before they performed the maneuvers that propelled Columbia out of the last of its 30 lunar orbits onto a trajectory back to Earth."
Agruculture: Revolution,0.38,2.0,330.0,56.0,"In the Middle Ages, compared to the Roman period, agriculture in Western Europe became more focused on self-sufficiency. The agricultural population under feudalism was typically organized into manors consisting of several hundred or more acres of land presided over by a lord of the manor with a Roman Catholic church and priest."
Agruculture: Revolution,0.09,1.0,276.0,48.0,"Thanks to the exchange with the Al-Andalus where the Arab Agricultural Revolution was underway, European agriculture transformed, with improved techniques and the diffusion of crop plants, including the introduction of sugar, rice, cotton and fruit trees (such as the orange)."
Agruculture: Revolution,0.11,1.0,268.0,57.0,"After 1492, the Columbian exchange brought New World crops such as maize, potatoes, tomatoes, sweet potatoes, and manioc to Europe, and Old World crops such as wheat, barley, rice, and turnips, and livestock (including horses, cattle, sheep and goats) to the Americas."
Agruculture: Revolution,0.04,3.0,597.0,95.0,"Irrigation, crop rotation, and fertilizers advanced from the 17th century with the British Agricultural Revolution, allowing global population to rise significantly. Since 1900, agriculture in developed nations, and to a lesser extent in the developing world, has seen large rises in productivity as mechanization replaces human labor, and assisted by synthetic fertilizers, pesticides, and selective breeding. The Haber-Bosch method allowed the synthesis of ammonium nitrate fertilizer on an industrial scale, greatly increasing crop yields and sustaining a further increase in global population."
Agruculture: Revolution,0.05,2.0,332.0,53.0,"Modern agriculture has raised or encountered ecological, political, and economic issues including water pollution, biofuels, genetically modified organisms, tariffs and farm subsidies, leading to alternative approaches such as the organic movement. Unsustainable farming practices in North America led to the Dust Bowl of the 1930s."
Medici: Rise to power,0.43,2.0,250.0,52.0,"For most of the 13th century, the leading banking centre in Italy was Siena. But in 1298, one of the leading banking families of Europe, the Bonsignoris, went bankrupt, and the city of Siena lost its status as the banking centre of Italy to Florence."
Medici: Rise to power,0.05,3.0,357.0,61.0,"Until the late 14th century, the leading family of Florence was the House of Albizzi. In 1293, the Ordinances of Justice were enacted; effectively, they became the constitution of the Republic of Florence throughout the Italian Renaissance. The city's numerous luxurious palazzi were becoming surrounded by townhouses built by the prospering merchant class."
Medici: Rise to power,0.07,4.0,522.0,98.0,"The main challengers to the Albizzi family were the Medici, first under Giovanni di Bicci de' Medici, later under his son Cosimo di Giovanni de' Medici and great-grandson, Lorenzo de' Medici. The Medici controlled the Medici Bank—then Europe's largest bank—and an array of other enterprises in Florence and elsewhere. In 1433, the Albizzi managed to have Cosimo exiled. The next year, however, a pro-Medici Signoria (civic government) led by Tommaso Soderini, Oddo Altoviti and Lucca Pitti was elected and Cosimo returned."
Medici: Rise to power,0.11,2.0,359.0,64.0,"The Medici became the city's leading family, a position they would hold for the next three centuries. Florence remained a republic until 1537, traditionally marking the end of the High Renaissance in Florence, but the instruments of republican government were firmly under the control of the Medici and their allies, save during intervals after 1494 and 1527."
Medici: Rise to power,0.03,2.0,436.0,76.0,"The Medici family was connected to most other elite families of the time through marriages of convenience, partnerships, or employment, so the family had a central position in the social network: several families had systematic access to the rest of the elite families only through the Medici, perhaps similar to banking relationships. Some examples of these families include the Bardi, Altoviti, Ridolfi, Cavalcanti and the Tornabuoni."
Console games: Third and fourth generations,1.0,1.0,268.0,53.0,"The release of new consoles from Nintendo, Sega and Atari signified the start of the third (and fourth) generations, which also saw the introduction of notable franchises such as The Legend of Zelda, Star Fox, Sonic the Hedgehog, Final Fantasy, Metal Gear and Metroid."
Console games: Third and fourth generations,0.66,4.0,625.0,106.0,"The console manufacturers took back control of third-party development and regulated the market. Measures were introduced to ensure saturation did not happen again, including limiting the number of games a developer could release a year, controlling the manufacture of game cartridges, demanding payment for cartridges upfront, and ensuring newly developed games adhered to a set of rules set by console manufacturers. This put pressure on publishers and added a risk to development. It meant developers were forced to concentrate on the quality of their games more so than the quantity and speed at which they could be made."
Console games: Third and fourth generations,0.12,2.0,343.0,54.0,"Atari and Sega incorporated backward compatibility in the Atari 7800 and Master System respectively, elongating the lifespan of their early console games. Both companies never released another backward compatible console, with the partial exception that Master System games can be played on the Sega Genesis using a separately sold peripheral."
Console games: Third and fourth generations,0.07,3.0,517.0,92.0,"During this time, Metroid became notable for its open world the player could traverse in all directions, while most similar games were still primarily side-scrolling in a single direction. It also featured a strong female protagonist who is often credited for improving the portrayal of women in gaming. Star Fox was Nintendo's first use of polygonal graphics and Sonic the Hedgehog introduced a rival to Nintendo's mascot, Mario, who became a long-standing character for Sega in a number of different types of media."
Console games: Third and fourth generations,0.08,2.0,262.0,45.0,"The fifth generation of consoles saw the move from 2D to 3D graphics and the change in storage media from cartridges to optical discs. Analogue controllers became popular, allowing for a finer and smoother movement control scheme compared to the directional pad."
Cotton Early history,0.66,2.0,413.0,80.0,"The earliest evidence of the use of cotton in the Old World, dated to 5500 BC and preserved in copper beads, has been found at the Neolithic site of Mehrgarh, at the foot of the Bolan Pass in ancient India, today in Balochistan Pakistan. Fragments of cotton textiles have been found at Mohenjo-daro and other sites of the Bronze Age Indus Valley civilization, and cotton may have been an important export from it."
Cotton Early history,0.06,4.0,472.0,96.0,"Cotton bolls discovered in a cave near Tehuacán, Mexico, have been dated to as early as 5500 BC, but this date has been challenged. More securely dated is the domestication of Gossypium hirsutum in Mexico between around 3400 and 2300 BC. During this time, people between the Río Santiago and the Río Balsas grew, spun, wove, dyed, and sewed cotton. What they did not use themselves, they sent to their Aztec rulers as tribute, on the scale of ~116 million pounds annually."
